"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Lakeland Care, Inc.","WI","Healthcare Provider","1300","02/04/2019","Hacking/IT Incident","Email","No",""
"Rainbow Dental Care PLLC","TX","Healthcare Provider","10000","02/04/2019","Hacking/IT Incident","Desktop Computer","No",""
"Anesthesia Associates of Kansas City","KS","Healthcare Provider","3472","02/01/2019","Theft","Paper/Films","No",""
"Reproductive Medicine and Infertility Associates, P.A.","MN","Healthcare Provider","40000","02/01/2019","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"CVS Pharmacy","RI","Healthcare Provider","5645","01/30/2019","Theft","Paper/Films","Yes",""
"Cambridge Healthcare Services, LLC","CA","Business Associate","10866","01/29/2019","Theft","Laptop","Yes",""
"Schroder's I.T., Inc.","OH","Business Associate","85874","01/29/2019","Hacking/IT Incident","Network Server","Yes",""
"Pawnee County Memorial Hospital","NE","Healthcare Provider","7038","01/28/2019","Hacking/IT Incident","Email","No",""
"Dr. DeLuca Dr. Marciano & Associates, P.C. ","CT","Healthcare Provider","23578","01/25/2019","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Network Server","No",""
"Valley Professionals Community Health Center","IN","Healthcare Provider","12029","01/25/2019","Hacking/IT Incident","Email","No",""
"HealthFitness","IL","Business Associate","1808","01/25/2019","Unauthorized Access/Disclosure","Other","Yes",""
"Sunflower State Health Plan","KS","Health Plan","1625","01/25/2019","Unauthorized Access/Disclosure","Other","No",""
"Unum Group, on behalf of its subsidiaries - Unum Life Insurance and Colonial Life & Accident Insurance","TN","Health Plan","532","01/24/2019","Hacking/IT Incident","Email","No",""
"Youssef M Aoun DPM PLLC","MI","Healthcare Provider","700","01/24/2019","Theft","Desktop Computer, Other, Paper/Films","No",""
"Stonehaven Dental","TX","Healthcare Provider","6289","01/22/2019","Theft","Network Server","No",""
"Critical Care, Pulmonary and Sleep Associates, PLLP","CO","Healthcare Provider","23377","01/21/2019","Hacking/IT Incident","Email","No",""
"Valley Hope Association","KS","Healthcare Provider","70799","01/18/2019","Hacking/IT Incident","Email","No",""
"Tri-Cities Chaplaincy","WA","Healthcare Provider","1086","01/18/2019","Hacking/IT Incident","Email","No",""
"Integrity, Inc. d/b/a Integrity House","NJ","Healthcare Provider","7206","01/18/2019","Theft","Desktop Computer, Laptop","No",""
"Las Colinas Orthopedic Surgery & Sports Medicine, PA","TX","Healthcare Provider","76000","01/18/2019","Theft","Other Portable Electronic Device","Yes",""
"Sacred Heart Rehabilitation Center","MI","Healthcare Provider","2266","01/10/2019","Unauthorized Access/Disclosure","Email","No",""
"Family Physicians of Winter Park, Inc. ","KY","Healthcare Provider","8429","01/08/2019","Hacking/IT Incident","Email","No",""
"Dermacare Brickell","FL","Healthcare Provider","1800","01/07/2019","Improper Disposal","Paper/Films","No",""
"Managed Health Services","IN","Health Plan","31300","01/03/2019","Hacking/IT Incident","Email","Yes",""
"Managed Health Services","IN","Health Plan","576","01/03/2019","Unauthorized Access/Disclosure","Paper/Films","No",""
"Centerstone Insurance and Financial Services (d/b/a BenefitMall)","TX","Business Associate","111589","01/03/2019","Hacking/IT Incident","Email","Yes",""
"Choice Rehabilitation","MO","Business Associate","4309","12/29/2018","Hacking/IT Incident","Email, Laptop","Yes",""
"Wolverine Solutions Group","MI","Business Associate","48471","12/28/2018","Hacking/IT Incident","Desktop Computer, Network Server","Yes",""
"WEA Insurance Corporation","WI","Health Plan","850","12/27/2018","Hacking/IT Incident","Email","No",""
"Kent County Community Mental Health Authority","MI","Healthcare Provider","2284","12/21/2018","Hacking/IT Incident","Email","No",""
"JAND Inc. d/b/a Warby Parker ","NY","Healthcare Provider","177890","12/20/2018","Hacking/IT Incident","Network Server","No",""
"The Podiatric Offices of Bobby Yee","CA","Healthcare Provider","24000","12/20/2018","Hacking/IT Incident","Desktop Computer, Laptop, Other Portable Electronic Device","No",""
"Dermatologists of Southwest Ohio","OH","Healthcare Provider","733","12/20/2018","Improper Disposal","Paper/Films","No",""
"Virtual Radiologic Professionals, LLC","MN","Healthcare Provider","2568","12/19/2018","Hacking/IT Incident","Other","Yes",""
"Barnes-Jewish Hospital","MO","Healthcare Provider","1643","12/18/2018","Hacking/IT Incident","Network Server","No",""
"University of Vermont Health Network - Elizabethtown Community Hospital","NY","Healthcare Provider","32470","12/17/2018","Hacking/IT Incident","Email","No",""
"Fort Defiance Indian Hospital","AZ","Healthcare Provider","1000","12/17/2018","Hacking/IT Incident","Desktop Computer","No",""
"Ben-Ora, Hansen & Vanesian Imaging, Ltd d/b/a Solis Mammography","AZ","Healthcare Provider","500","12/16/2018","Theft","Desktop Computer","No",""
"Smile Designs by Sandwick ","MN","Healthcare Provider","900","12/13/2018","Hacking/IT Incident","Other","No",""
"Adams County","WI","Healthcare Provider","258120","12/11/2018","Unauthorized Access/Disclosure","Network Server, Other","No",""
"Ramsey County","MN","Healthcare Provider","599","12/11/2018","Hacking/IT Incident","Email","No",""
"Leon A Cohen MM.,PA","FL","Healthcare Provider","2122","12/08/2018","Improper Disposal","Paper/Films","No",""
"Butler County Board of County Commissioners","OH","Health Plan","1912","12/04/2018","Unauthorized Access/Disclosure","Email","No",""
"Georgia Department of Human Services","GA","Business Associate","435339","11/30/2018","Unauthorized Access/Disclosure","Network Server, Other Portable Electronic Device","Yes",""
"Mind and Motion, LLC","GA","Healthcare Provider","16000","11/30/2018","Hacking/IT Incident","Network Server","No",""
"CCRM Dallas-Fort Worth","TX","Healthcare Provider","1117","11/30/2018","Hacking/IT Incident","Email","No",""
"Cancer Treatment Centers of America (CTCA) at Western Regional Medical Center","AZ","Healthcare Provider","41948","11/26/2018","Hacking/IT Incident","Email","No",""
"Mercy Medical Center- North Iowa","IA","Healthcare Provider","1971","11/26/2018","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"East End Disability Associates, Inc.","NY","Healthcare Provider","896","11/20/2018","Hacking/IT Incident","Email","No",""
"Episcopal Health Services","NY","Healthcare Provider","218055","11/19/2018","Hacking/IT Incident","Email","No",""
"Valley Health System","VA","Business Associate","857","11/19/2018","Hacking/IT Incident","Electronic Medical Record","Yes",""
"James R. Etzkorn, MD","MO","Healthcare Provider","6845","11/19/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"HealthEquity, Inc.","UT","Business Associate","165800","11/17/2018","Hacking/IT Incident","Email","Yes",""
"Texas VSI, LLC","TX","Business Associate","500","11/16/2018","Hacking/IT Incident","Network Server","Yes",""
"New York Oncology Hematology, P.C.","NY","Healthcare Provider","128400","11/16/2018","Hacking/IT Incident","Email","No",""
"Center for Vitreo-Retinal Diseases","IL","Healthcare Provider","20371","11/16/2018","Unauthorized Access/Disclosure","Network Server","No",""
"Georgia Spine & Orthopaedics of Atlanta, LLC","GA","Healthcare Provider","7012","11/16/2018","Hacking/IT Incident","Email","No",""
"American Medical Response, Inc.","TX","Healthcare Provider","912","11/09/2018","Hacking/IT Incident","Email","Yes",""
"SUNY Upstate Medical University","NY","Healthcare Provider","1216","11/09/2018","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Utah Healing Center","UT","Healthcare Provider","543","11/07/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"FHN Family Counseling Center","IL","Healthcare Provider","4458","11/03/2018","Theft","Laptop","No",""
"Oprex Surgery (Baytown), L.P. d/b/a Altus Baytown Hospital","TX","Healthcare Provider","40000","11/02/2018","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Inova Health System","VA","Healthcare Provider","12331","11/02/2018","Theft","Electronic Medical Record, Paper/Films","No",""
"Dallas County Mental Health Mental Retardation Center dba Metrocare Services","TX","Healthcare Provider","1804","11/01/2018","Hacking/IT Incident","Email","No",""
"HealthFitness","IL","Business Associate","614","10/28/2018","Unauthorized Access/Disclosure","Other","Yes",""
"CNO Financial Group, Inc.","IN","Health Plan","566217","10/25/2018","Unauthorized Access/Disclosure","Other","No",""
"CJ Elmwood Partners, L.P.","IA","Healthcare Provider","22416","10/22/2018","Hacking/IT Incident","Network Server","No",""
"Jones Eye Center, P.C.","IA","Healthcare Provider","39605","10/22/2018","Hacking/IT Incident","Network Server","No",""
"HealthFitness","IL","Business Associate","550","10/15/2018","Unauthorized Access/Disclosure","Other","Yes",""
"HealthFitness","IL","Business Associate","1332","10/15/2018","Unauthorized Access/Disclosure","Other","Yes",""
"Employees Retirement System of Texas","TX","Health Plan","1248263","10/15/2018","Unauthorized Access/Disclosure","Other","No",""
"FirstCare Health Plans","TX","Health Plan","8056","10/12/2018","Unauthorized Access/Disclosure","Email","No",""
"Indiana University School of Medicine","IN","Healthcare Provider","1431","10/11/2018","Theft","Paper/Films","No",""
"Minnesota Department of Human Services","MN","Health Plan","20800","10/09/2018","Hacking/IT Incident","Email","No",""
"Dr. Robert Carpenter","TX","Healthcare Provider","3000","10/07/2018","Hacking/IT Incident","Network Server","No",""
"Dr. Amy Woodruff","TX","Healthcare Provider","10862","10/07/2018","Hacking/IT Incident","Network Server","No",""
"National Ambulatory Hernia Institute","CA","Healthcare Provider","15974","10/05/2018","Hacking/IT Incident","Network Server","No",""
"Tillamook Chiropractic, PC","OR","Healthcare Provider","4058","10/03/2018","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Reichert Prosthetics & Orthotics, LLC","WI","Healthcare Provider","3380","09/28/2018","Theft","Other Portable Electronic Device","Yes",""
"Toyota Industries North America, Inc. as plan sponsor to the Toyota Industries North America, Inc. Welfare Benefit Plan","IN","Health Plan","19320","09/28/2018","Hacking/IT Incident","Email","No",""
"University of Michigan/Michigan Medicine","MI","Healthcare Provider","3624","09/28/2018","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"J&J MEDICAL SERVICE NETWORK INC","TX","Business Associate","2500","09/25/2018","Hacking/IT Incident","Network Server","Yes",""
"Ransom Memorial Hospital ","KS","Healthcare Provider","14329","09/25/2018","Hacking/IT Incident","Email","No",""
"Personal Assistance Services of Colorado, LLC","CO","Healthcare Provider","1839","09/20/2018","Hacking/IT Incident","Email","No",""
"Pulse Systems, Inc.","KS","Business Associate","722","09/19/2018","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"The University of Texas Health Science Center at Houston","TX","Healthcare Provider","500","09/18/2018","Theft","Paper/Films","No",""
"Total Diagnostix II, LLC","TX","Healthcare Provider","855","09/12/2018","Unauthorized Access/Disclosure","Network Server","No",""
"Ohio Living","OH","Healthcare Provider","6510","09/07/2018","Hacking/IT Incident","Email","No",""
"Catholic Charities Neighborhood Services, Inc.","NY","Healthcare Provider","565","09/07/2018","Hacking/IT Incident","Email","No",""
"J.A. Stokes Ltd.","NV","Healthcare Provider","3200","09/05/2018","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Network Server","No",""
"Nebraska Department of Health and Human Services","NE","Health Plan","516","09/04/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"David G. Simon, DMD, PA, d/b/a Simon Orthodontics","FL","Healthcare Provider","15129","08/31/2018","Hacking/IT Incident","Network Server","No",""
"South Alamo Medical Group P.A","TX","Healthcare Provider","2180","08/30/2018","Unauthorized Access/Disclosure","Electronic Medical Record, Email, Laptop, Network Server","No",""
"Crossroads Behavioral Health","IA","Healthcare Provider","5000","08/28/2018","Improper Disposal","Paper/Films","No",""
"Acadiana Computer Systems, Inc.","LA","Business Associate","31151","08/17/2018","Hacking/IT Incident","Email","Yes",""
"Chapman & Chapman, Inc.","OH","Business Associate","2032","08/17/2018","Hacking/IT Incident","Email","Yes",""
"AU Medical Center, INC","GA","Healthcare Provider","417000","08/16/2018","Hacking/IT Incident","Email","No",""
"InterAct of Michigan, Inc.","MI","Healthcare Provider","1290","08/07/2018","Hacking/IT Incident","Email","No",""
"CoreLink Administrative Solutions, LLC","ND","Business Associate","1813","08/06/2018","Hacking/IT Incident","Email","Yes",""
"Central Colorado Dermatology, PC","CO","Healthcare Provider","4065","08/03/2018","Hacking/IT Incident","Network Server","No",""
"CoreSource, Inc.","IL","Business Associate","769","08/03/2018","Unauthorized Access/Disclosure","Other","Yes",""
"Lane County Health & Human Services","OR","Healthcare Provider","715","08/01/2018","Loss","Paper/Films","No",""
"SSM Health St. Mary's Hospital - Jefferson City","MO","Healthcare Provider","301000","07/30/2018","Improper Disposal","Paper/Films","No",""
"Iowa Health System d/b/a UnityPoint Health ","IA","Business Associate","1421107","07/30/2018","Hacking/IT Incident","Email","Yes",""
"Boys Town National Research Hospital","NE","Healthcare Provider","105309","07/20/2018","Hacking/IT Incident","Email","No",""
"Orlando Orthopaedic Center","FL","Healthcare Provider","19101","07/20/2018","Unauthorized Access/Disclosure","Network Server","Yes",""
"Sunspire Health ","NJ","Healthcare Provider","6737","07/16/2018","Hacking/IT Incident","Email","No",""
"Rocky Mountain Health Care Services","CO","Healthcare Provider","1087","07/13/2018","Theft","Laptop","No",""
"Alive Hospice","TN","Healthcare Provider","1868","07/13/2018","Hacking/IT Incident","Email","No",""
"Billings Clinic","MT","Healthcare Provider","8435","07/13/2018","Hacking/IT Incident","Email","No",""
"Blue Springs Family Care, P.C.","MO","Healthcare Provider","44979","07/10/2018","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"MedEvolve","AR","Business Associate","205434","07/10/2018","Unauthorized Access/Disclosure","Network Server","Yes",""
"GOLDEN HEART ADMINISTRATIVE PROFESSIONALS","AK","Business Associate","44600","07/09/2018","Hacking/IT Incident","Network Server","Yes",""
"Health Alliance Plan","MI","Health Plan","2814","07/05/2018","Hacking/IT Incident","Desktop Computer, Email","No",""
"Planned Parenthood of the Heartland","IA","Healthcare Provider","515","06/29/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"State of Alaska Department of Health and Social Services","AK","Health Plan","501","06/28/2018","Hacking/IT Incident","Desktop Computer, Email","No",""
"Children's Mercy Hospital","MO","Healthcare Provider","1463","06/27/2018","Unauthorized Access/Disclosure","Other","No",""
"Community Cancer Center","IL","Healthcare Provider","500","06/26/2018","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"University of Michigan/Michigan Medicine","MI","Healthcare Provider","871","06/25/2018","Theft","Laptop","No",""
"InfuSystem, Inc.","MI","Healthcare Provider","3882","06/22/2018","Hacking/IT Incident","Email","No",""
"Med Associates, Inc.","NY","Business Associate","276057","06/14/2018","Hacking/IT Incident","Desktop Computer","Yes",""
"Black River Medical Center","MO","Healthcare Provider","13443","06/13/2018","Hacking/IT Incident","Email","No",""
"HealthEquity, Inc.","UT","Business Associate","16000","06/12/2018","Hacking/IT Incident","Email","Yes",""
"Healthland Inc.","MN","Business Associate","614","06/10/2018","Unauthorized Access/Disclosure","Other","Yes",""
"Massac County Surgery Center dba Orthopaedic Institute Surgery Center","IL","Healthcare Provider","2000","06/08/2018","Hacking/IT Incident","Email","No",""
"RISE Wisconsin, Inc.","WI","Healthcare Provider","3731","06/07/2018","Hacking/IT Incident","Network Server","No",""
"Benefit Outsourcing Solutions","MI","Business Associate","1144","06/07/2018","Unauthorized Access/Disclosure","Other","Yes",""
"Florida Agency for Persons with Disabilities","FL","Health Plan","1951","06/01/2018","Unauthorized Access/Disclosure","Email","No",""
"Aflac","GA","Health Plan","10396","05/29/2018","Hacking/IT Incident","Email","Yes",""
"The Trustees of Purdue University","IN","Healthcare Provider","1711","05/25/2018","Hacking/IT Incident","Desktop Computer","No",""
"Aultman Hospital","OH","Healthcare Provider","42625","05/25/2018","Hacking/IT Incident","Email","No",""
"Holland Eye Surgery and Laser Center","MI","Healthcare Provider","42200","05/18/2018","Hacking/IT Incident","Desktop Computer","No",""
"Associates in Psychiatry and Psychology","MN","Healthcare Provider","6546","05/18/2018","Hacking/IT Incident","Network Server","No",""
"Boys Town National Research Hospital","NE","","2182","05/09/2018","Hacking/IT Incident","Email","Yes",""
"USACS Management Group, Ltd.","OH","Business Associate","15552","05/08/2018","Hacking/IT Incident","Email","Yes",""
"Cerebral Palsy Research Foundation of Kansas, Inc.","KS","Healthcare Provider","8300","05/08/2018","Unauthorized Access/Disclosure","Network Server","No",""
"Florida Hospital ","FL","Healthcare Provider","12724","05/03/2018","Hacking/IT Incident","Network Server","No",""
"Complete Family Medicine, LLC","NE","Healthcare Provider","1331","04/30/2018","Theft","Laptop, Paper/Films","No",""
"Walgreen Co.","IL","Healthcare Provider","703","04/27/2018","Theft","Paper/Films","No",""
"Knoxville Heart Group, Inc.","TN","Healthcare Provider","15995","04/27/2018","Hacking/IT Incident","Email","No",""
"Eye Care Surgery Center, Inc. ","LA","Healthcare Provider","2553","04/27/2018","Theft","Laptop","No",""
"Tiger Vision, LLC","LA","Healthcare Provider","2553","04/27/2018","Theft","Laptop","No",""
"Carolina Digestive Health Associates, PA","NC","Healthcare Provider","10988","04/26/2018","Unauthorized Access/Disclosure","Desktop Computer","No",""
"CareFirst BlueCross BlueShield","MD","Health Plan","6200","04/26/2018","Hacking/IT Incident","Email","No",""
"Illinois Department of Healthcare and Family Services","IL","Health Plan","8000","04/26/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"Scenic Bluffs Health Center Inc","WI","Healthcare Provider","2889","04/24/2018","Hacking/IT Incident","Email","No",""
"Riverside Medical Center","IL","Healthcare Provider","501","04/20/2018","Theft","Desktop Computer, Other","No",""
"Michael Gruber DMD PA","NJ","Healthcare Provider","4624","04/20/2018","Hacking/IT Incident","Desktop Computer, Email, Network Server","No",""
"Center for Orthopaedic Specialists - Providence Medical Institute (PMI)","CA","Healthcare Provider","81550","04/18/2018","Hacking/IT Incident","Network Server","No",""
"Kansas Department for Aging and Disability Services","KS","Healthcare Provider","11000","04/17/2018","Unauthorized Access/Disclosure","Desktop Computer","No",""
"Iowa Health System d/b/a UnityPoint Health","IA","Business Associate","16429","04/16/2018","Hacking/IT Incident","Email","Yes",""
"Athens Heart Center, P.C.","GA","Healthcare Provider","12158","04/16/2018","Hacking/IT Incident","Electronic Medical Record","No",""
"Cornerstone Foot & Ankle","NJ","Healthcare Provider","533","04/16/2018","Unauthorized Access/Disclosure","Email","No",""
"ATI Holdings, LLC and its subsidiaries","IL","Business Associate","1776","04/13/2018","Hacking/IT Incident","Email","Yes",""
"Polk County Health Services, Inc","IA","Health Plan","1071","04/12/2018","Unauthorized Access/Disclosure","Email","No",""
"Henry Ford Health System","MI","Healthcare Provider","1658","04/10/2018","Loss","Other Portable Electronic Device","No",""
"ViaTech Publishing Solutions, Inc.","MN","Health Plan","896","04/10/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"ViaTech Publishing Solutions, Inc.","MN","Health Plan","2431","04/10/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"Walgreen Co.","IL","Healthcare Provider","910","04/06/2018","Theft","Other","No",""
"Children’s National Medical Center ","DC","Healthcare Provider","722","03/30/2018","Theft","Laptop","No",""
"NYC Health + Hospitals/Harlem","NY","Healthcare Provider","595","03/29/2018","Theft","Laptop","No",""
"City of Houston Medical Plan","TX","Health Plan","34637","03/22/2018","Theft","Laptop","No",""
"Primary Health Care, Inc.","IA","Healthcare Provider","10313","03/16/2018","Hacking/IT Incident","Email","No",""
"UnitedHealth Group Single Affiliated Covered Entity ","MN","Health Plan","1755","03/15/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"ATI Holdings, LLC and its subsidiaries ","IL","Healthcare Provider","35136","03/12/2018","Hacking/IT Incident","Email","No",""
"Barnes-Jewish St. Peters Hospital","MO","Healthcare Provider","15046","03/12/2018","Unauthorized Access/Disclosure","Network Server","No",""
"Barnes-Jewish Hospital","MO","Healthcare Provider","18436","03/12/2018","Unauthorized Access/Disclosure","Network Server","No",""
"Front Range Dermatology Associates, P.C.","CO","Healthcare Provider","1070","03/07/2018","Unauthorized Access/Disclosure","Electronic Medical Record, Email, Laptop","No",""
"John J. Pershing VA Medical Center","MO","Healthcare Provider","1843","03/07/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"Esther V. Rettig, M.D., P.A.","KS","Healthcare Provider","13500","03/01/2018","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Network Server","No",""
"Florida Agency Persons for Disabilities","FL","Health Plan","63627","03/01/2018","Hacking/IT Incident","Email","No",""
"St. Peter's Ambulatory Surgery Center LLC - d/b/a St. Peter's Surgery & Endoscopy Center","NY","Healthcare Provider","134512","02/28/2018","Hacking/IT Incident","Network Server","No",""
"Union Lake Supermarket, LLC","NJ","Healthcare Provider","9956","02/28/2018","Improper Disposal","Other Portable Electronic Device","No",""
"FastHealth Corporation","AL","Business Associate","1345","02/27/2018","Hacking/IT Incident","Network Server","Yes",""
"Rhode Island Executive Office of Health and Human Services","RI","Health Plan","1100","02/27/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"QuadMed, LLC (Hillenbrand)","WI","Healthcare Provider","2471","02/26/2018","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"QuadMed, LLC (Stoughton Trailers)","WI","Healthcare Provider","2834","02/26/2018","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Flexible Benefit Service Corporation","IL","Business Associate","5123","02/16/2018","Hacking/IT Incident","Email","Yes",""
"Partners HealthCare System, Inc.","MA","Healthcare Provider","2450","02/05/2018","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"City of Detroit","MI","Healthcare Provider","544","02/05/2018","Loss","Other Portable Electronic Device","No",""
"Children's Mercy Hospital","MO","Healthcare Provider","63049","01/31/2018","Hacking/IT Incident","Email","No",""
"QuadMed, LLC (Whirlpool)","WI","Healthcare Provider","4549","01/29/2018","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Decatur County General Hospital","TN","Healthcare Provider","24000","01/26/2018","Hacking/IT Incident","Network Server","No",""
"Onco360 and CareMed Specialty Pharmacy ","KY","Healthcare Provider","53173","01/12/2018","Hacking/IT Incident","Email","No",""
"Oklahoma State University ","OK","Healthcare Provider","279865","01/05/2018","Hacking/IT Incident","Network Server","No",""
"Penn Medicine","PA","Healthcare Provider","1050","01/02/2018","Theft","Laptop","No",""
"SSM Health","MO","Healthcare Provider","29579","12/28/2017","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Miracle-Ear, Inc. and Amplifon (USA), Inc.","MN","Business Associate","554","12/28/2017","Hacking/IT Incident","Email","Yes",""
"Blue Cross Blue Shield of Massachusetts","MA","Health Plan","1843","12/26/2017","Unauthorized Access/Disclosure","Email","No",""
"Emory Healthcare  ","GA","Healthcare Provider","24000","12/15/2017","Unauthorized Access/Disclosure","Email","No",""
"NYU School of Medicine - Pediatric Surgery Associates","NY","Healthcare Provider","2158","12/15/2017","Improper Disposal","Paper/Films","No",""
"Pharmacy Innovations","NY","Healthcare Provider","1205","12/12/2017","Hacking/IT Incident","Network Server","No",""
"Metrocare Services","TX","Healthcare Provider","500","11/17/2017","Hacking/IT Incident","Email","No",""
